"outlet","date","headline","filename","word_count","status","url","byline"
"Hospodářské noviny","2020-06-08","Pokud chce vláda bránit životy všemi prostředky, měla by zavést povinné očkování proti chřipce","opeds_HN/2020-06-08_pokud-chce-vlada-branit-zivoty-vsemi.md","419","full","https://nazory.hn.cz/c1-66773750-pokud-chce-vlada-branit-zivoty-vsemi-prostredky-mela-by-zavest-povinne-ockovani-proti-chripce","Tomáš Havránek"
"Hospodářské noviny","2020-09-08","Proč cenová stabilita neznamená stabilitu průměrných cen? Inflace je historický přežitek","opeds_HN/2020-09-08_proc-cenova-stabilita-neznamena-stabilitu-prumernych.md","595","full","https://archiv.hn.cz/c1-66812680-proc-cenova-stabilita-neznamena-stabilitu-prumernych-cen-pevny-inflacni-cil-je-jen-historicky-prezitek","Tomáš Havránek"
"Hospodářské noviny","2020-10-07","Zlato do trezorů ČNB patří","opeds_HN/2020-10-07_zlato-do-trezoru-cnb-patri.md","310","full","https://archiv.hn.cz/c1-66826610-zlato-do-trezoru-cnb-patri","Tomáš Havránek"
"Hospodářské noviny","2020-11-11","Poslední šance na Česko bez bankrotu","opeds_HN/2020-11-11_posledni-sance-na-cesko-bez-bankrotu.md","575","full","https://archiv.hn.cz/c1-66842940-posledni-sance-na-cesko-bez-bankrotu","Tomáš Havránek"
"Hospodářské noviny","2021-02-04","Je inflace neústavní? Aneb budoucnost měnové politiky","opeds_HN/2021-02-04_je-inflace-neustavni-aneb-budoucnost-menove.md","635","full","https://archiv.hn.cz/c1-66878350-je-inflace-neustavni-aneb-budoucnost-menove-politiky","Tomáš Havránek"
"Hospodářské noviny","2021-04-06","Přežijí papírové peníze pandemii?","opeds_HN/2021-04-06_preziji-papirove-penize-pandemii.md","544","full","https://archiv.hn.cz/c1-66902410-preziji-papirove-penize-pandemii","Tomáš Havránek"
"Hospodářské noviny","2021-04-23","ČNB konečně ukázala odvahu. Pomůže to českému rozpočtu?","opeds_HN/2021-04-23_cnb-konecne-ukazala-odvahu-muze-pomoci.md","579","full","https://archiv.hn.cz/c1-66913870-cnb-konecne-ukazala-odvahu-muze-pomoci-ceskemu-utrapenemu-rozpoctu","Tomáš Havránek"
"Hospodářské noviny","2021-05-29","Ženy v radě ČNB by Česku jen prospěly, jsou citlivější na inflační tlaky u praktického zboží","opeds_HN/2021-05-29_zeny-v-rade-cnb-by-cesku.md","525","full","https://archiv.hn.cz/c1-66931000-zeny-v-rade-cnb-by-cesku-jen-prospely","Tomáš Havránek"
"Hospodářské noviny","2021-06-21","Zvýšení úroků cenovou stabilitu nezajistí","opeds_HN/2021-06-21_zvyseni-uroku-cenovou-stabilitu-nezajisti.md","639","full","https://archiv.hn.cz/c1-66942390-zvyseni-uroku-cenovou-stabilitu-nezajisti","Tomáš Havránek"
"Hospodářské noviny","2021-08-04","Výzkum centrální banky dělá Česku dobrou reklamu","opeds_HN/2021-08-04_vyzkum-centralni-banky-dela-cesku-dobrou.md","573","full","https://archiv.hn.cz/c1-66952600-vyzkum-centralni-banky-dela-cesku-dobrou-reklamu","Tomáš Havránek"
"Hospodářské noviny","2021-09-10","ČNB vyrazila správným směrem, ale pomalu. Úroky musí růst rychleji, aktuální inflační skok to podtrhuje","opeds_HN/2021-09-10_cnb-spravnym-smerem-ale-pomalu.md","606","full","https://nazory.hn.cz/c1-66972900-cnb-vyrazila-spravnym-smerem-ale-pomalu-uroky-musi-rust-rychleji-aktualni-inflacni-skok-to-podtrhuje","Tomáš Havránek"
"Hospodářské noviny","2021-10-19","Když nenajdeme nového Rašína, ochutnáme dvojcifernou inflaci","opeds_HN/2021-10-19_kdyz-nenajdeme-rasina-dvojciferna-inflace.md","605","full","https://archiv.hn.cz/c1-66988050-kdyz-nenajdeme-noveho-rasina-ochutname-dvojcifernou-inflaci","Tomáš Havránek"
"Hospodářské noviny","2021-11-10","Klimatický extremismus škodí víc než globální oteplování","opeds_HN/2021-11-10_klimaticky-extremismus.md","600","full","https://archiv.hn.cz/c1-66997170-klimaticky-extremismus-skodi-vic-nez-globalni-oteplovani","Tomáš Havránek"
"Hospodářské noviny","2021-12-07","Éru levných peněz vystřídají roky šetření. Z inflační krize se ale neprošetříme, když zároveň neporosteme","opeds_HN/2021-12-07_era-levnych-penez-roky-setreni.md","576","full","https://archiv.hn.cz/c1-67008540-eru-levnych-penez-vystridaji-roky-setreni-z-inflacni-krize-se-ale-neprosetrime-kdyz-zaroven-neporosteme","Tomáš Havránek"
"Hospodářské noviny","2022-01-04","Jak zkrotit inflaci? Přišel čas odčinit intervence proti koruně","opeds_HN/2022-01-04_zkrotit-inflaci-odcinit-intervence.md","412","full","https://archiv.hn.cz/c1-67017100-jak-zkrotit-inflaci-prisel-cas-odcinit-intervence-proti-korune","Tomáš Havránek"
"Hospodářské noviny","2022-02-07","Lockdowny přinesly obrovské náklady, ale malý užitek. Zkraťme tedy prázdniny na polovinu, ať to napravíme","opeds_HN/2022-02-07_lockdowny-zkratme-prazdniny.md","440","full","https://archiv.hn.cz/c1-67030340-lockdowny-prinesly-obrovske-naklady-ale-maly-uzitek-zkratme-tedy-prazdniny-na-polovinu-at-to-napravime","Tomáš Havránek"
"Hospodářské noviny","2022-06-02","Vzkaz Aloise Rašína guvernérovi ČNB: Dokud nesnížíš inflaci, sniž si plat","opeds_HN/2022-06-02_vzkaz-rasina-guvernerovi-cnb.md","382","full","https://archiv.hn.cz/c1-67076600-ales-michl-vzhlizi-k-aloisi-rasinovi-co-by-tedy-s-inflaci-delal-on","Tomáš Havránek"
"Hospodářské noviny","2022-07-12","Jak úrokové sazby ovlivňují inflaci? Ekonomové nevědí","opeds_HN/2022-07-12_jak-urokove-sazby-ovlivnuji-inflaci.md","433","full","https://archiv.hn.cz/c1-67090440-jak-urokove-sazby-ovlivnuji-inflaci-ekonomove-nevedi","Tomáš Havránek"
"Hospodářské noviny","2022-11-28","Zmizí inflace sama od sebe? Těžko, pokud se ČNB neodhodlá k činu","opeds_HN/2022-11-28_zmizi-inflace-sama-od-sebe.md","461","full","https://archiv.hn.cz/c1-67140770-zmizi-inflace-sama-od-sebe-tezko-jak-nam-rika-ekonomicky-vyzkum","Tomáš Havránek"
"Hospodářské noviny","2022-12-21","Racionálně vysvětlit chování ČNB může jen jedna teorie","opeds_HN/2022-12-21_racionalne-vysvetlit-chovani-cnb.md","611","full","https://archiv.hn.cz/c1-67152360-racionalne-vysvetlit-chovani-cnb-muze-jen-jedna-teorie","Tomáš Havránek"
"Hospodářské noviny","2023-01-11","Zvyšme odpovědnost ČNB za inflaci. Platy bankéřů ať jsou vázány na stabilitu cen","opeds_HN/2023-01-11_pristi-prezident-inflacni-fiasko.md","561","full","https://archiv.hn.cz/c1-67157650-pristi-prezident-muze-zaridit-aby-se-neopakovalo-inflacni-fiasko-musi-se-o-to-ale-rvat","Tomáš Havránek"
"Hospodářské noviny","2023-02-02","Dva radní centrální banky odcházejí. ČNB by si měla dát pozor, aby se z ní nestal názorový monolit","opeds_HN/2023-02-02_dva-radni-cnb-nazorovy-monolit.md","426","full","https://archiv.hn.cz/c1-67166880-dva-radni-centralni-banky-odchazeji-cnb-by-si-mela-dat-pozor-aby-se-z-ni-nestal-nazorovy-monolit","Tomáš Havránek"
"Hospodářské noviny","2023-03-03","Kdo nakonec zaplatí státní dluh? Čeští střadatelé","opeds_HN/2023-03-03_kdo-zaplati-statni-dluh-stradatele.md","424","full","https://archiv.hn.cz/c1-67178390-kdo-nakonec-zaplati-statni-dluh-cesti-stradatele","Tomáš Havránek"
"Hospodářské noviny","2023-05-03","Inflační cíl ČNB potřebuje po 13 letech facelift","opeds_HN/2023-05-03_inflacni-cil-cnb-facelift.md","313","full","https://archiv.hn.cz/c1-67200010-inflacni-cil-cnb-potrebuje-po-13-letech-facelift","Tomáš Havránek"
"Hospodářské noviny","2023-05-26","Stabilita sazeb znamená nestabilitu ekonomiky","opeds_HN/2023-05-26_stabilita-sazeb-nestabilita-ekonomiky.md","574","full","https://archiv.hn.cz/c1-67207280-stabilita-sazeb-znamena-nestabilitu-ekonomiky-menova-politika-potrebuje-pravidla-zalozena-na-datech","Tomáš Havránek"
"Hospodářské noviny","2023-06-28","Méně než 20 dětí ve třídě je drahý luxus. V malých třídách se víc nenaučí","opeds_HN/2023-06-28_mene-nez-20-deti-ve-tride.md","615","full","https://archiv.hn.cz/c1-67218460-mene-nez-20-deti-ve-tride-je-drahy-luxus-v-malych-tridach-se-vic-nenauci","Tomáš Havránek"
"Hospodářské noviny","2023-08-01","Lidé nejsou racionální. Proč se přesto ekonomické modely bez racionality neobejdou?","opeds_HN/2023-08-01_lide-nejsou-racionalni-modely.md","306","full","https://archiv.hn.cz/c1-67229150-lide-nejsou-racionalni-proc-se-presto-ekonomicke-modely-bez-racionality-neobejdou","Tomáš Havránek"
"Hospodářské noviny","2023-09-11","ČNB může dělat pro finanční gramotnost víc. Ve správě aktiv má jít příkladem","opeds_HN/2023-09-11_cnb-financni-gramotnost-sprava-aktiv.md","646","full","https://archiv.hn.cz/c1-67241720-cnb-muze-delat-pro-financni-gramotnost-vic-ve-sprave-aktiv-ma-jit-prikladem","Tomáš Havránek"
"Hospodářské noviny","2023-10-31","Snížení sazeb by dávalo smysl, kdyby předtím ČNB netolerovala pádivou inflaci","opeds_HN/2023-10-31_snizeni-sazeb-cnb-padiva-inflace.md","333","full","https://archiv.hn.cz/c1-67259780-snizeni-sazeb-by-davalo-smysl-kdyby-predtim-cnb-netolerovala-padivou-inflaci","Tomáš Havránek"
"Hospodářské noviny","2025-12-31","Jedna AI nestačí, nechte modely spolu bojovat","opeds_HN/2025-12-31_jedna-ai-nestaci.md","520","full","https://archiv.hn.cz/c1-67828260-jedna-ai-nestaci-nechte-modely-spolu-bojovat","Tomáš Havránek, Zuzana Havránková"
"Seznam Zprávy","2022-03-29","ČNB zkrotí inflaci jedině posílením koruny","opeds_SZ/2022-03-29_cnb-zkroti-inflaci-jedine-posilenim-koruny.md","679","full","https://www.seznamzpravy.cz/clanek/ekonomika-ocima-byznysu-cnb-zkroti-inflaci-jedine-posilenim-koruny-195868","Tomáš Havránek"
"Seznam Zprávy","2022-04-13","ČNB přes dotační eura skrytě oslabuje korunu, navzdory pádivé inflaci","opeds_SZ/2022-04-13_cnb-pres-dotacni-eura-skryte-oslabuje.md","601","full","https://www.seznamzpravy.cz/clanek/ekonomika-ocima-byznysu-cnb-pres-dotacni-eura-skryte-oslabuje-korunu-navzdory-padive-inflaci-198048","Tomáš Havránek"
"Seznam Zprávy","2022-11-03","Český dluh nikdy neklesal rychleji. Co tratí lidé kvůli inflaci, to vydělá stát","opeds_SZ/2022-11-03_cesky-dluh-nikdy-neklesal-rychleji-co.md","522","full","https://www.seznamzpravy.cz/clanek/ekonomika-cesky-dluh-nikdy-neklesal-rychleji-co-trati-lide-kvuli-inflaci-to-vydela-stat-218391","Tomáš Havránek"
"Seznam Zprávy","2022-12-14","O inflaci nakonec rozhoduje prezident. Favoritům ale chybí plán","opeds_SZ/2022-12-14_o-inflaci-nakonec-rozhoduje-prezident-jeho.md","493","full","https://www.seznamzpravy.cz/clanek/ekonomika-ocima-byznysu-o-inflaci-nakonec-rozhoduje-prezident-jeho-lidem-ale-chybi-plan-221354","Tomáš Havránek"
"Seznam Zprávy","2023-01-09","Co nás čeká? Rovnice mluví jasně, buď hyperinflace, nebo rozpočet s přebytkem","opeds_SZ/2023-01-09_co-nas-ceka-rovnice-mluvi-jasne.md","590","full","https://www.seznamzpravy.cz/clanek/ekonomika-ocima-byznysu-co-nas-ceka-rovnice-mluvi-jasne-bud-hyperinflace-nebo-rozpocet-s-prebytkem-222814","Tomáš Havránek"
"Seznam Zprávy","2023-03-04","Máme infrastrukturu rozvojové země. Vyšší deficit může nakonec snížit dluh","opeds_SZ/2023-03-04_mame-infrastrukturu-rozvojove-zeme-vyssi-deficit.md","390","full","https://www.seznamzpravy.cz/clanek/ekonomika-ocima-byznysu-mame-infrastrukturu-rozvojove-zeme-vyssi-deficit-muze-nakonec-snizit-dluh-226670","Tomáš Havránek"
"Seznam Zprávy","2023-05-27","Co bude s důchody, až začne fungovat klimatická antikoncepce","opeds_SZ/2023-05-27_co-bude-s-duchody-az-zacne.md","572","full","https://www.seznamzpravy.cz/clanek/ekonomika-ocima-byznysu-co-bude-s-duchody-az-zacne-fungovat-klimaticka-antikoncepce-231421","Tomáš Havránek"
"Seznam Zprávy","2023-07-27","Komentář: Zrušení EET přetřelo ekonomiku z bílé do šeda a pokazilo Česku čísla","opeds_SZ/2023-07-27_zruseni-eet-pretrelo-ekonomiku.md","523","full","https://www.seznamzpravy.cz/clanek/ekonomika-ocima-byznysu-cesko-az-tak-nezaostava-zruseni-eet-jen-pretrelo-ekonomiku-z-bile-do-seda-234603","Tomáš Havránek"
"Seznam Zprávy","2023-09-09","Komentář: S trochou štěstí přijde zlevnění a deflace. ČNB by se toho neměla bát","opeds_SZ/2023-09-09_s-trochou-stesti-zlevneni-deflace.md","982","full","https://www.seznamzpravy.cz/clanek/ekonomika-ocima-byznysu-komentar-s-trochou-stesti-prijde-zlevneni-a-deflace-cnb-by-se-toho-nemela-bat-236356","Tomáš Havránek"
"Seznam Zprávy","2023-10-28","Komentář: Jak ČNB udělala z triumfu debakl. 10 let od oslabení koruny","opeds_SZ/2023-10-28_jak-cnb-udelala-z-triumfu-debakl.md","893","full","https://www.seznamzpravy.cz/clanek/ekonomika-ocima-byznysu-komentar-jak-cnb-udelala-z-triumfu-debakl-10-let-od-oslabeni-koruny-238954","Tomáš Havránek"
"Seznam Zprávy","2024-01-18","Komentář: Jak naučit děti perfektně anglicky bez námahy a zadarmo","opeds_SZ/2024-01-18_jak-naucit-deti-anglicky.md","617","full","https://www.seznamzpravy.cz/clanek/nazory-komentare-komentar-jak-naucit-deti-perfektne-anglicky-bez-namahy-a-zadarmo-243876","Tomáš Havránek"
"Seznam Zprávy","2024-02-17","Komentář: Česko má skvělou ekonomickou teorii, ale bohužel slabou praxi","opeds_SZ/2024-02-17_cesko-skvela-teorie-slaba-praxe.md","491","full","https://www.seznamzpravy.cz/clanek/ekonomika-ocima-byznysu-komentar-cesko-ma-skvelou-ekonomickou-teorii-ale-bohuzel-slabou-praxi-245574","Tomáš Havránek"
"Seznam Zprávy","2024-04-15","Komentář: Rychlovlaky v Česku? Skončí to hůř než kanál Dunaj–Odra–Labe","opeds_SZ/2024-04-15_rychlovlaky-v-cesku.md","709","full","https://www.seznamzpravy.cz/clanek/nazory-komentare-komentar-rychlovlaky-v-cesku-skonci-to-hur-nez-kanal-dunaj-odra-labe-249751","Tomáš Havránek"
"Seznam Zprávy","2024-06-12","Komentář: Odkud se bere ekonomický růst? Investice prosperitu nezajistí","opeds_SZ/2024-06-12_odkud-se-bere-ekonomicky-rust.md","618","full","https://www.seznamzpravy.cz/clanek/ekonomika-ocima-byznysu-komentar-odkud-se-bere-ekonomicky-rust-investice-prosperitu-nezajisti-253715","Tomáš Havránek"
"Seznam Zprávy","2024-12-06","Komentář: Naděje na cenovou stabilitu? Do ČNB se vrací nezávislý výzkum","opeds_SZ/2024-12-06_nadeje-na-cenovou-stabilitu-cnb-vyzkum.md","693","full","https://www.seznamzpravy.cz/clanek/ekonomika-ocima-byznysu-komentar-nadeje-na-cenovou-stabilitu-do-cnb-se-vraci-nezavisly-vyzkum-265834","Tomáš Havránek"
"Seznam Zprávy","2025-03-14","Komentář: „Pátek pro planetu\\"" ve školních jídelnách Zemi nepomůže a dětem uškodí","opeds_SZ/2025-03-14_patek-pro-planetu-skolni-jidelny.md","844","full","https://www.seznamzpravy.cz/clanek/domaci-zivot-v-cesku-komentar-patek-pro-planetu-ve-skolnich-jidelnach-zemi-nepomuze-a-detem-uskodi-271750","Tomáš Havránek, Zuzana Havránková"
"Seznam Zprávy","2025-07-12","Komentář: Návod pro dlužníky a střadatele, jak přežít dluh větší než ekonomika","opeds_SZ/2025-07-12_navod-pro-dluzniky-a-stradatele.md","669","full","https://www.seznamzpravy.cz/clanek/ekonomika-komentar-navod-pro-dluzniky-a-stradatele-jak-prezit-dluh-vetsi-nez-ekonomika-281287","Tomáš Havránek, Zuzana Havránková"
"Seznam Zprávy","2025-10-09","Komentář: Babiš si vezme stamiliardy z ČNB. Zůstane národní banka nezávislá?","opeds_SZ/2025-10-09_babis-stamiliardy-cnb-nezavislost.md","939","full","https://www.seznamzpravy.cz/clanek/ekonomika-ocima-byznysu-komentar-babis-si-vezme-stamiliardy-z-cnb-zustane-narodni-banka-nezavisla-288608","Tomáš Havránek"
"Seznam Zprávy","2026-04-09","Komentář: Japonský vládní dluh: katastrofa, nebo vlastně chytrý byznys?","opeds_SZ/2026-04-09_japonsky-vladni-dluh.md","486","full","https://www.seznamzpravy.cz/clanek/ekonomika-ocima-byznysu-komentar-japonsky-vladni-dluh-katastrofa-nebo-vlastne-chytry-byznys-302696","Tomáš Havránek"
